fecha_hora,url,profundidad,tipo,archivo_guardado,palabras_extraidas,notas
2026-05-04T20:04:10,https://pregrado.upc.edu.pe/facultad-de-ingenieria/ingenieria-de-sistemas-de-informacion/,0,html,/tmp/upc_documents/html_text/pregrado/pregrado_upc_edu_pe_facultad-de-ingenieria_ingenieria-de-sistemas-de-informacion_955d4fb5.txt,2771,"method=simple,kw=6"
2026-05-04T20:04:13,https://pregrado.upc.edu.pe/facultad-de-ingenieria/,0,html,/tmp/upc_documents/html_text/pregrado/pregrado_upc_edu_pe_facultad-de-ingenieria__08bb6914.txt,670,"method=simple,kw=1"
2026-05-04T20:04:13,https://pregrado.upc.edu.pe/static/docs/Menciones_de_Ingenieria_UPC.pdf,1,pdf,/tmp/upc_documents/pdfs/pregrado/pregrado_upc_edu_pe_static_docs_menciones_de_ingenieria_upc_pdf_e5288edc.pdf,0,0KB
2026-05-04T20:04:17,https://www.upc.edu.pe/admision/becas-y-financiamiento/becas-internas-alumnos/,0,html,/tmp/upc_documents/html_text/becas/www_upc_edu_pe_admision_becas-y-financiamiento_becas-internas-alumnos__06d7c0df.txt,1243,"method=simple,kw=9"
2026-05-04T20:04:19,https://www.upc.edu.pe/admision/becas-y-financiamiento/,0,html,/tmp/upc_documents/html_text/becas/www_upc_edu_pe_admision_becas-y-financiamiento__bf6a6519.txt,355,"method=simple,kw=4"
2026-05-04T20:04:22,https://www.upc.edu.pe/servicios/becas-creditos-y-cobranzas/,0,ignorada,,0,"words=216,kw=4,method=simple"
2026-05-04T20:04:22,https://www.upc.edu.pe/servicios/becas-creditos-y-cobranzas/documentos/informacion-y-servicios-becas-creditos-y-cobranzas-2024.pdf,1,pdf,/tmp/upc_documents/pdfs/becas/www_upc_edu_pe_servicios_becas-creditos-y-cobranzas_documentos_informacion-y-ser_34adc33b.pdf,0,317KB
2026-05-04T20:04:26,https://explora.upc.edu.pe/,0,html,/tmp/upc_documents/html_text/otros/explora_upc_edu_pe__ec9dcb51.txt,454,"method=simple,kw=11"
2026-05-04T20:04:30,https://explora.upc.edu.pe/ayuda-upc,0,html,/tmp/upc_documents/html_text/otros/explora_upc_edu_pe_ayuda-upc_f98f123f.txt,13483,"method=simple,kw=17"
2026-05-04T20:04:30,https://www.upc.edu.pe/servicios/becas-creditos-y-cobranzas/becas-y-recategorizaciones/documentos/CALENDARIO-DE-PROCESO-DE-EVALUACI%C3%93N-SOCIOECON%C3%93MICA_EXTRAORDINARIO-2023_2.pdf,1,pdf,/tmp/upc_documents/pdfs/becas/www_upc_edu_pe_servicios_becas-creditos-y-cobranzas_becas-y-recategorizaciones_d_c8e5f61c.pdf,0,83KB
2026-05-04T20:04:30,https://www.upc.edu.pe/admision/becas-y-financiamiento/becas-internas-postulantes/documentos/f035-solicitud-dcto-x-hermano-padre-y-conyuge_completo_2022.pdf,1,pdf,/tmp/upc_documents/pdfs/becas/www_upc_edu_pe_admision_becas-y-financiamiento_becas-internas-postulantes_docume_cdc3f68f.pdf,0,204KB
2026-05-04T20:04:36,https://explora.upc.edu.pe/79839-grados-titulos-y-mencion,0,html,/tmp/upc_documents/html_text/otros/explora_upc_edu_pe_79839-grados-titulos-y-mencion_8b730344.txt,8861,"method=simple,kw=13"
2026-05-04T20:04:36,https://www.upc.edu.pe/servicios/grados-y-titulos/documentos/formato_solicitud_de_sustentacion_de_tesis_o_trabajo_de_suficiencia_profesional_-_30.5.pdf,1,pdf,/tmp/upc_documents/pdfs/otros/www_upc_edu_pe_servicios_grados-y-titulos_documentos_formato_solicitud_de_susten_616bdb5b.pdf,0,182KB
2026-05-04T20:04:36,https://www.upc.edu.pe/servicios/grados-y-titulos/documentos/sustentacion-de-expedientes-facultad-de-derecho.pdf,1,pdf,/tmp/upc_documents/pdfs/otros/www_upc_edu_pe_servicios_grados-y-titulos_documentos_sustentacion-de-expedientes_6a609f69.pdf,0,719KB
2026-05-04T20:04:36,https://www.upc.edu.pe/servicios/grados-y-titulos/documentos/solicitud_de_aprobacion_de_tema_de_tesis_o_trabajo_de_suficiencia_profesional_upc_-_24.7.pdf,1,pdf,/tmp/upc_documents/pdfs/otros/www_upc_edu_pe_servicios_grados-y-titulos_documentos_solicitud_de_aprobacion_de__3df3cd86.pdf,0,168KB
2026-05-04T20:04:37,https://cerbero.upc.edu.pe/apps/gmailingpregrado/Repositorio/Adjunto/30827/Aprobaci%C3%B3n%20de%20Tema%20de%20Tesis%20o%20Trabajo%20de%20Suficiencia%20Profesional%20(2025).pdf,1,pdf,/tmp/upc_documents/pdfs/otros/cerbero_upc_edu_pe_apps_gmailingpregrado_repositorio_adjunto_30827_aprobaci_c3_b_f10e2ce3.pdf,0,163KB
2026-05-04T20:04:37,https://www.upc.edu.pe/servicios/grados-y-titulos/documentos/plantilla-informativa-asesorias-de-tesis_2020.pdf,1,pdf,/tmp/upc_documents/pdfs/otros/www_upc_edu_pe_servicios_grados-y-titulos_documentos_plantilla-informativa-aseso_e25fa905.pdf,0,706KB
2026-05-04T20:04:37,https://www.upc.edu.pe/servicios/grados-y-titulos/documentos/solicitud-de-ampliacion-de-tema-de-tesis-o-trabajo-de-suficiencia-profesional.pdf,1,pdf,/tmp/upc_documents/pdfs/otros/www_upc_edu_pe_servicios_grados-y-titulos_documentos_solicitud-de-ampliacion-de-_df6fc5e3.pdf,0,164KB
2026-05-04T20:04:38,https://www.upc.edu.pe/servicios/grados-y-titulos/documentos/ampliacion-tesis-o-trabajo-de-suficiencia-profesional-2020.pdf,1,pdf,/tmp/upc_documents/pdfs/otros/www_upc_edu_pe_servicios_grados-y-titulos_documentos_ampliacion-tesis-o-trabajo-_3897ced3.pdf,0,872KB
2026-05-04T20:04:38,https://www.upc.edu.pe/servicios/grados-y-titulos/documentos/sustentacion-de-tesis-o-trabajo-de-suficiencia-profesional-2020-6.7.pdf,1,pdf,/tmp/upc_documents/pdfs/otros/www_upc_edu_pe_servicios_grados-y-titulos_documentos_sustentacion-de-tesis-o-tra_af8e0b44.pdf,0,959KB
2026-05-04T20:04:38,https://www.upc.edu.pe/servicios/grados-y-titulos/documentos/hoja-de-estilo-tesis-todas-las-carreras-2019-9.pdf,1,pdf,/tmp/upc_documents/pdfs/otros/www_upc_edu_pe_servicios_grados-y-titulos_documentos_hoja-de-estilo-tesis-todas-_3a6c0e83.pdf,0,553KB
2026-05-04T20:04:38,https://www.upc.edu.pe/servicios/grados-y-titulos/documentos/aprobacion-tesis-o-trabajo-de-suficiencia-profesional-2019-15.10.pdf,1,pdf,/tmp/upc_documents/pdfs/otros/www_upc_edu_pe_servicios_grados-y-titulos_documentos_aprobacion-tesis-o-trabajo-_674cd68d.pdf,0,556KB
2026-05-04T20:04:44,https://explora.upc.edu.pe/79837-pagos,0,html,/tmp/upc_documents/html_text/otros/explora_upc_edu_pe_79837-pagos_39208f54.txt,9139,"method=simple,kw=14"
2026-05-04T20:04:44,https://www.upc.edu.pe/servicios/contacto-para-alumnos-upc/facturacion/documentos/carta-de-compromiso-pregrado-epe-22.10.pdf,1,pdf,/tmp/upc_documents/pdfs/otros/www_upc_edu_pe_servicios_contacto-para-alumnos-upc_facturacion_documentos_carta-_1c59eb1b.pdf,0,115KB
2026-05-04T20:04:44,https://cerbero.upc.edu.pe/apps/gmailingpregrado/Repositorio/Adjunto/30827/CAMBIO%20DE%20COMPROBANTE%20DE%20PAGO.pdf,1,pdf,/tmp/upc_documents/pdfs/otros/cerbero_upc_edu_pe_apps_gmailingpregrado_repositorio_adjunto_30827_cambio_20de_2_201daa5b.pdf,0,1549KB
2026-05-04T20:04:45,https://www.upc.edu.pe/servicios/contacto-para-alumnos-upc/facturacion/documentos/tutorial_facturas_electronicas_2016.pdf,1,pdf,/tmp/upc_documents/pdfs/otros/www_upc_edu_pe_servicios_contacto-para-alumnos-upc_facturacion_documentos_tutori_bc86a84f.pdf,0,617KB
2026-05-04T20:04:48,https://explora.upc.edu.pe/79836-otros-servicios,0,html,/tmp/upc_documents/html_text/otros/explora_upc_edu_pe_79836-otros-servicios_c6dfb513.txt,9959,"method=simple,kw=14"
2026-05-04T20:04:49,https://www.upc.edu.pe/servicios/tutoriales-de-tramites/documentos/Actualizaci%C3%B3n%20de%20datos_4.24.pdf,1,pdf,/tmp/upc_documents/pdfs/otros/www_upc_edu_pe_servicios_tutoriales-de-tramites_documentos_actualizaci_c3_b3n_20_3b188752.pdf,0,290KB
